Index,ROI,NAA+NAAG,Glu+Gln,Ins+Gly,GABA+Glu,TwoHG+Gln,GPC+PCh,Cr+PCr,Cys,GABA,Glu,Gln,Gly,GSH,Ins,NAA,NAAG,Ser,Tau,TwoHG,MM,NAA+NAAG,Glu+Gln,Ins+Gly,GABA+Glu,TwoHG+Gln,GPC+PChToNAA,Cr+PCrToNAA,CysToNAA,GABAToNAA,GluToNAA,GlnToNAA,GlyToNAA,GSHToNAA,InsToNAA,SerToNAA,TauToNAA,TwoHGToNAA,MMToNAA,Glu+GlnToNAA,Ins+GlyToNAA,GABA+GluToNAA,TwoHG+GlnToNAA,GPC+PChToNAA+NAAG,Cr+PCrToNAA+NAAG,CysToNAA+NAAG,GABAToNAA+NAAG,GluToNAA+NAAG,GlnToNAA+NAAG,GlyToNAA+NAAG,GSHToNAA+NAAG,InsToNAA+NAAG,SerToNAA+NAAG,TauToNAA+NAAG,TwoHGToNAA+NAAG,MMToNAA+NAAG,Glu+GlnToNAA+NAAG,Ins+GlyToNAA+NAAG,GABA+GluToNAA+NAAG,TwoHG+GlnToNAA+NAAG,GPC+PChToCr+PCr,CysToCr+PCr,GABAToCr+PCr,GluToCr+PCr,GlnToCr+PCr,GlyToCr+PCr,GSHToCr+PCr,InsToCr+PCr,NAAToCr+PCr,NAAGToCr+PCr,SerToCr+PCr,TauToCr+PCr,TwoHGToCr+PCr,MMToCr+PCr,NAA+NAAGToCr+PCr,Glu+GlnToCr+PCr,Ins+GlyToCr+PCr,GABA+GluToCr+PCr,TwoHG+GlnToCr+PCr,TwoHGToGPC+PCh,TwoHGToCys,TwoHGToGABA,TwoHGToGlu,TwoHGToGln,TwoHGToGly,TwoHGToGSH,TwoHGToIns,TwoHGToNAAG,TwoHGToSer,TwoHGToTau,TwoHGToMM,TwoHGToGlu+Gln,TwoHGToIns+Gly,TwoHGToGABA+Glu,TwoHGToTwoHG+Gln,Cr+PCrToGPC+PCh,CysToGPC+PCh,GABAToGPC+PCh,GluToGPC+PCh,GlnToGPC+PCh,GlyToGPC+PCh,GSHToGPC+PCh,InsToGPC+PCh,NAAToGPC+PCh,NAAGToGPC+PCh,SerToGPC+PCh,TauToGPC+PCh,MMToGPC+PCh,NAA+NAAGToGPC+PCh,Glu+GlnToGPC+PCh,Ins+GlyToGPC+PCh,GABA+GluToGPC+PCh,TwoHG+GlnToGPC+PCh,GlyToIns,GlyToGly+Ins,GlnToGlu+Gln,GluToGlu+Gln
0,Subcortical WM (left),11.71,9.8,6.07,9.43,2.32,1.89,7.24,1.0,1.75,7.68,2.12,0.92,0.91,5.15,9.78,1.93,1.94,2.11,0.2,0.2,11.71,9.8,6.07,9.43,2.32,0.1933,0.7403,0.1022,0.1789,0.7853,0.2168,0.0941,0.093,0.5266,0.1984,0.2157,0.0204,0.0204,1.002,0.6207,0.9642,0.2372,0.1614,0.6183,0.0854,0.1494,0.6558,0.181,0.0786,0.0777,0.4398,0.1657,0.1802,0.0171,0.0171,0.8369,0.5184,0.8053,0.1981,0.261,0.1381,0.2417,1.0608,0.2928,0.1271,0.1257,0.7113,1.3508,0.2666,0.268,0.2914,0.0276,0.0276,1.6174,1.3536,0.8384,1.3025,0.3204,0.1058,0.2,0.1143,0.026,0.0943,0.2174,0.2198,0.0388,0.1036,0.1031,0.0948,1.0,0.0204,0.0329,0.0212,0.0862,3.8307,0.5291,0.9259,4.0635,1.1217,0.4868,0.4815,2.7249,5.1746,1.0212,1.0265,1.1164,0.1058,6.1958,5.1852,3.2116,4.9894,1.2275,0.1786,0.1516,0.2163,0.7837
1,Subcortical WM (right),11.62,9.66,6.24,9.43,2.19,1.95,7.25,0.97,1.76,7.67,1.99,0.89,0.9,5.35,9.67,1.95,1.83,2.09,0.2,0.2,11.62,9.66,6.24,9.43,2.19,0.2017,0.7497,0.1003,0.182,0.7932,0.2058,0.092,0.0931,0.5533,0.1892,0.2161,0.0207,0.0207,0.999,0.6453,0.9752,0.2265,0.1678,0.6239,0.0835,0.1515,0.6601,0.1713,0.0766,0.0775,0.4604,0.1575,0.1799,0.0172,0.0172,0.8313,0.537,0.8115,0.1885,0.269,0.1338,0.2428,1.0579,0.2745,0.1228,0.1241,0.7379,1.3338,0.269,0.2524,0.2883,0.0276,0.0276,1.6028,1.3324,0.8607,1.3007,0.3021,0.1026,0.2062,0.1136,0.0261,0.1005,0.2247,0.2222,0.0374,0.1026,0.1093,0.0957,1.0,0.0207,0.0321,0.0212,0.0913,3.7179,0.4974,0.9026,3.9333,1.0205,0.4564,0.4615,2.7436,4.959,1.0,0.9385,1.0718,0.1026,5.959,4.9538,3.2,4.8359,1.1231,0.1664,0.1426,0.206,0.794
2,Subcortical WM (bilateral),11.66,9.72,6.15,9.43,2.25,1.92,7.24,0.99,1.75,7.67,2.05,0.9,0.91,5.24,9.73,1.94,1.89,2.1,0.2,0.2,11.66,9.72,6.15,9.42,2.25,0.1973,0.7441,0.1017,0.1799,0.7883,0.2107,0.0925,0.0935,0.5385,0.1942,0.2158,0.0206,0.0206,0.999,0.6321,0.9681,0.2312,0.1647,0.6209,0.0849,0.1501,0.6578,0.1758,0.0772,0.078,0.4494,0.1621,0.1801,0.0172,0.0172,0.8336,0.5274,0.8079,0.193,0.2652,0.1367,0.2417,1.0594,0.2831,0.1243,0.1257,0.7238,1.3439,0.268,0.261,0.2901,0.0276,0.0276,1.6105,1.3425,0.8494,1.3011,0.3108,0.1042,0.202,0.1143,0.0261,0.0976,0.2222,0.2198,0.0382,0.1031,0.1058,0.0952,1.0,0.0206,0.0325,0.0212,0.0889,3.7708,0.5156,0.9115,3.9948,1.0677,0.4688,0.474,2.7292,5.0677,1.0104,0.9844,1.0938,0.1042,6.0729,5.0625,3.2031,4.9062,1.1719,0.1718,0.1463,0.2109,0.7891
3,Motor subcortex WM,13.23,9.61,6.51,9.63,1.9,2.0,7.96,1.19,1.73,7.9,1.7,1.06,0.74,5.45,10.72,2.51,1.71,2.3,0.2,0.2,13.23,9.61,6.51,9.63,1.9,0.1866,0.7425,0.111,0.1614,0.7369,0.1586,0.0989,0.069,0.5084,0.1595,0.2146,0.0187,0.0187,0.8965,0.6073,0.8983,0.1772,0.1512,0.6017,0.0899,0.1308,0.5971,0.1285,0.0801,0.0559,0.4119,0.1293,0.1738,0.0151,0.0151,0.7264,0.4921,0.7279,0.1436,0.2513,0.1495,0.2173,0.9925,0.2136,0.1332,0.093,0.6847,1.3467,0.3153,0.2148,0.2889,0.0251,0.0251,1.6621,1.2073,0.8178,1.2098,0.2387,0.1,0.1681,0.1156,0.0253,0.1176,0.1887,0.2703,0.0367,0.0797,0.117,0.087,1.0,0.0208,0.0307,0.0208,0.1053,3.98,0.595,0.865,3.95,0.85,0.53,0.37,2.725,5.36,1.255,0.855,1.15,0.1,6.615,4.805,3.255,4.815,0.95,0.1945,0.1628,0.1769,0.8221
4,Motor cortex GM,12.34,10.47,6.32,10.26,2.25,1.71,7.55,1.17,1.84,8.42,2.05,0.93,0.61,5.39,10.15,2.18,1.78,2.51,0.2,0.2,12.34,10.47,6.32,10.26,2.25,0.1685,0.7438,0.1153,0.1813,0.8296,0.202,0.0916,0.0601,0.531,0.1754,0.2473,0.0197,0.0197,1.0315,0.6227,1.0108,0.2217,0.1386,0.6118,0.0948,0.1491,0.6823,0.1661,0.0754,0.0494,0.4368,0.1442,0.2034,0.0162,0.0162,0.8485,0.5122,0.8314,0.1823,0.2265,0.155,0.2437,1.1152,0.2715,0.1232,0.0808,0.7139,1.3444,0.2887,0.2358,0.3325,0.0265,0.0265,1.6344,1.3868,0.8371,1.3589,0.298,0.117,0.1709,0.1087,0.0238,0.0976,0.2151,0.3279,0.0371,0.0917,0.1124,0.0797,1.0,0.0191,0.0316,0.0195,0.0889,4.4152,0.6842,1.076,4.924,1.1988,0.5439,0.3567,3.152,5.9357,1.2749,1.0409,1.4678,0.117,7.2164,6.1228,3.6959,6.0,1.3158,0.1725,0.1472,0.1958,0.8042
5,Motor cortex/subcortex GM+WM,12.85,9.97,6.43,9.91,2.05,1.87,7.78,1.19,1.78,8.13,1.85,1.0,0.68,5.42,10.48,2.37,1.74,2.39,0.2,0.2,12.85,9.97,6.43,9.91,2.05,0.1784,0.7424,0.1135,0.1698,0.7758,0.1765,0.0954,0.0649,0.5172,0.166,0.2281,0.0191,0.0191,0.9513,0.6135,0.9456,0.1956,0.1455,0.6054,0.0926,0.1385,0.6327,0.144,0.0778,0.0529,0.4218,0.1354,0.186,0.0156,0.0156,0.7759,0.5004,0.7712,0.1595,0.2404,0.153,0.2288,1.045,0.2378,0.1285,0.0874,0.6967,1.347,0.3046,0.2237,0.3072,0.0257,0.0257,1.6517,1.2815,0.8265,1.2738,0.2635,0.107,0.1681,0.1124,0.0246,0.1081,0.2,0.2941,0.0369,0.0844,0.1149,0.0837,1.0,0.0201,0.0311,0.0202,0.0976,4.1604,0.6364,0.9519,4.3476,0.9893,0.5348,0.3636,2.8984,5.6043,1.2674,0.9305,1.2781,0.107,6.8717,5.3316,3.4385,5.2995,1.0963,0.1845,0.1555,0.1856,0.8154
6,Parietal subcortex WM,12.35,9.54,6.51,9.49,2.1,1.84,7.51,1.08,1.85,7.64,1.9,0.97,0.8,5.54,10.21,2.15,1.68,2.14,0.2,0.2,12.35,9.54,6.51,9.49,2.1,0.1802,0.7356,0.1058,0.1812,0.7483,0.1861,0.095,0.0784,0.5426,0.1645,0.2096,0.0196,0.0196,0.9344,0.6376,0.9295,0.2057,0.149,0.6081,0.0874,0.1498,0.6186,0.1538,0.0785,0.0648,0.4486,0.136,0.1733,0.0162,0.0162,0.7725,0.5271,0.7684,0.17,0.245,0.1438,0.2463,1.0173,0.253,0.1292,0.1065,0.7377,1.3595,0.2863,0.2237,0.285,0.0266,0.0266,1.6445,1.2703,0.8668,1.2636,0.2796,0.1087,0.1852,0.1081,0.0262,0.1053,0.2062,0.25,0.0361,0.093,0.119,0.0935,1.0,0.021,0.0307,0.0211,0.0952,4.0815,0.587,1.0054,4.1522,1.0326,0.5272,0.4348,3.0109,5.5489,1.1685,0.913,1.163,0.1087,6.712,5.1848,3.538,5.1576,1.1413,0.1751,0.149,0.1992,0.8008
7,Parietal cortex GM,12.1,10.79,6.53,10.61,2.44,1.64,7.57,1.12,2.06,8.55,2.24,0.92,0.69,5.61,10.09,2.02,1.78,2.41,0.2,0.2,12.1,10.79,6.53,10.61,2.44,0.1625,0.7502,0.111,0.2042,0.8474,0.222,0.0912,0.0684,0.556,0.1764,0.2389,0.0198,0.0198,1.0694,0.6472,1.0515,0.2418,0.1355,0.6256,0.0926,0.1702,0.7066,0.1851,0.076,0.057,0.4636,0.1471,0.1992,0.0165,0.0165,0.8917,0.5397,0.8769,0.2017,0.2166,0.148,0.2721,1.1295,0.2959,0.1215,0.0911,0.7411,1.3329,0.2668,0.2351,0.3184,0.0264,0.0264,1.5984,1.4254,0.8626,1.4016,0.3223,0.122,0.1786,0.0971,0.0234,0.0893,0.2174,0.2899,0.0357,0.099,0.1124,0.083,1.0,0.0185,0.0306,0.0189,0.082,4.6159,0.6829,1.2561,5.2134,1.3659,0.561,0.4207,3.4207,6.1524,1.2317,1.0854,1.4695,0.122,7.378,6.5793,3.9817,6.4695,1.4878,0.164,0.1409,0.2076,0.7924
8,Parietal cortex/subcortex GM+WM,12.23,10.13,6.52,10.02,2.26,1.74,7.54,1.1,1.95,8.07,2.06,0.94,0.75,5.58,10.15,2.08,1.72,2.27,0.2,0.2,12.23,10.13,6.52,10.02,2.26,0.1714,0.7429,0.1084,0.1921,0.7951,0.203,0.0926,0.0739,0.5498,0.1695,0.2236,0.0197,0.0197,0.998,0.6424,0.9872,0.2227,0.1423,0.6165,0.0899,0.1594,0.6599,0.1684,0.0769,0.0613,0.4563,0.1406,0.1856,0.0164,0.0164,0.8283,0.5331,0.8193,0.1848,0.2308,0.1459,0.2586,1.0703,0.2732,0.1247,0.0995,0.7401,1.3462,0.2759,0.2281,0.3011,0.0265,0.0265,1.622,1.3435,0.8647,1.3289,0.2997,0.1149,0.1818,0.1026,0.0248,0.0971,0.2128,0.2667,0.0358,0.0962,0.1163,0.0881,1.0,0.0197,0.0307,0.02,0.0885,4.3333,0.6322,1.1207,4.6379,1.1839,0.5402,0.431,3.2069,5.8333,1.1954,0.9885,1.3046,0.1149,7.0287,5.8218,3.7471,5.7586,1.2989,0.1685,0.1442,0.2034,0.7966
9,Cingulate subcortex WM,12.6,9.88,7.05,9.98,2.03,2.32,7.55,1.1,1.93,8.06,1.83,1.06,1.22,5.99,10.55,2.06,2.26,2.09,0.2,0.2,12.6,9.88,7.05,9.99,2.03,0.2199,0.7156,0.1043,0.1829,0.764,0.1735,0.1005,0.1156,0.5678,0.2142,0.1981,0.019,0.019,0.9365,0.6682,0.9469,0.1924,0.1841,0.5992,0.0873,0.1532,0.6397,0.1452,0.0841,0.0968,0.4754,0.1794,0.1659,0.0159,0.0159,0.7841,0.5595,0.7929,0.1611,0.3073,0.1457,0.2556,1.0675,0.2424,0.1404,0.1616,0.7934,1.3974,0.2728,0.2993,0.2768,0.0265,0.0265,1.6689,1.3086,0.9338,1.3232,0.2689,0.0862,0.1818,0.1036,0.0248,0.1093,0.1887,0.1639,0.0334,0.0971,0.0885,0.0957,1.0,0.0202,0.0284,0.02,0.0985,3.2543,0.4741,0.8319,3.4741,0.7888,0.4569,0.5259,2.5819,4.5474,0.8879,0.9741,0.9009,0.0862,5.431,4.2586,3.0388,4.306,0.875,0.177,0.1504,0.1852,0.8158
10,Cingulate  cortex GM,12.92,12.61,7.61,12.5,2.67,2.22,8.45,1.26,2.36,10.14,2.47,1.0,1.05,6.6,10.86,2.06,2.4,2.81,0.2,0.2,12.92,12.61,7.61,12.5,2.67,0.2044,0.7781,0.116,0.2173,0.9337,0.2274,0.0921,0.0967,0.6077,0.221,0.2587,0.0184,0.0184,1.1611,0.7007,1.151,0.2459,0.1718,0.654,0.0975,0.1827,0.7848,0.1912,0.0774,0.0813,0.5108,0.1858,0.2175,0.0155,0.0155,0.976,0.589,0.9675,0.2067,0.2627,0.1491,0.2793,1.2,0.2923,0.1183,0.1243,0.7811,1.2852,0.2438,0.284,0.3325,0.0237,0.0237,1.529,1.4923,0.9006,1.4793,0.316,0.0901,0.1587,0.0847,0.0197,0.081,0.2,0.1905,0.0303,0.0971,0.0833,0.0712,1.0,0.0159,0.0263,0.016,0.0749,3.8063,0.5676,1.0631,4.5676,1.1126,0.4505,0.473,2.973,4.8919,0.9279,1.0811,1.2658,0.0901,5.8198,5.6802,3.4279,5.6306,1.2027,0.1515,0.1314,0.1959,0.8041
11,Cingulate cortex/subcortex GM+WM,12.74,11.08,7.29,11.09,2.3,2.28,7.94,1.17,2.12,8.98,2.1,1.03,1.14,6.26,10.68,2.06,2.32,2.41,0.2,0.2,12.74,11.08,7.29,11.1,2.3,0.2135,0.7434,0.1096,0.1985,0.8408,0.1966,0.0964,0.1067,0.5861,0.2172,0.2257,0.0187,0.0187,1.0375,0.6826,1.0393,0.2154,0.179,0.6232,0.0918,0.1664,0.7049,0.1648,0.0808,0.0895,0.4914,0.1821,0.1892,0.0157,0.0157,0.8697,0.5722,0.8713,0.1805,0.2872,0.1474,0.267,1.131,0.2645,0.1297,0.1436,0.7884,1.3451,0.2594,0.2922,0.3035,0.0252,0.0252,1.6045,1.3955,0.9181,1.398,0.2897,0.0877,0.1709,0.0943,0.0223,0.0952,0.1942,0.1754,0.0319,0.0971,0.0862,0.083,1.0,0.0181,0.0274,0.018,0.087,3.4825,0.5132,0.9298,3.9386,0.9211,0.4518,0.5,2.7456,4.6842,0.9035,1.0175,1.057,0.0877,5.5877,4.8596,3.1974,4.8684,1.0088,0.1645,0.1413,0.1895,0.8105
